brand,price,thickness,weight,screen_size,ppi,threads,ram,antiglare,touch_screen,cores,battery_capacity,battery_cell,hdmi,ethernet,multi_card_reader,thunderbolt,display_port,vga,backlit,fingerprint_sensor,usb2,usb3,typec,processor_gen,processor_brand,processor_model,graphics_brand,graphics_capacity,graphics_model,everyday_use,business,performance,gaming,hdd,ssd,popularity,quality_type,ppi_type
Asus,58990,medium,lite,14.0,162,16.0,16,1,0,12.0,70.0,3.0,1,0,0,0,0,0,1,1,1.0,1.0,2.0,12.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0,popular,medium,high
MSI,35990,medium,lite,14.0,157,8.0,8,1,0,4.0,50.0,3.0,1,0,0,0,0,0,1,0,2.0,1.0,1.0,11.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0,popular,low,high
MSI,569990,thick,heavy,17.3,255,32.0,64,1,0,24.0,99.0,4.0,1,1,1,0,1,0,1,1,0.0,3.0,2.0,13.0,intel,i9,nvidia,16.0,rtx4090,0,0,0,1,,4096.0,regular,low,high
Acer,34990,medium,medium,15.6,141,8.0,8,0,0,4.0,40.0,3.0,1,0,0,0,0,0,0,0,0.0,2.0,1.0,7.0,amd,5,amd,0.0,Integrated,1,0,0,0,,512.0,popular,low,medium
Acer,62990,slim,medium,15.6,141,12.0,8,1,0,8.0,50.0,3.0,1,1,0,1,0,0,1,0,0.0,2.0,1.0,13.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0,regular,medium,medium
Apple,322490,slim,heavy,16.2,254,8.0,32,1,0,12.0,100.0,6.0,1,0,1,1,1,0,1,0,0.0,0.0,3.0,2.0,apple,M2,apple,0.0,Integrated,0,0,1,0,,1024.0,regular,medium,high
Samsung,69990,medium,medium,14.0,157,16.0,8,1,0,12.0,72.0,4.0,1,0,1,0,0,0,1,1,0.0,2.0,2.0,13.0,intel,i5,intel,0.0,Integrated,0,1,0,0,,512.0,regular,high,high
Lenovo,57990,thick,heavy,15.6,141,8.0,8,1,0,4.0,45.0,3.0,1,1,0,0,0,0,1,0,0.0,2.0,1.0,5.0,amd,5,nvidia,4.0,rtx2050,0,0,0,1,,512.0,regular,low,medium
HP,25999,medium,lite,14.0,112,8.0,8,1,0,4.0,41.0,3.0,1,1,1,0,0,0,0,0,0.0,2.0,1.0,5.0,amd,3,amd,0.0,Integrated,1,0,0,0,,512.0,popular,low,low
Honor,34990,slim,lite,14.0,141,12.0,8,0,0,6.0,50.0,3.0,1,0,0,0,0,0,1,1,1.0,1.0,1.0,5.0,amd,5,amd,0.0,Integrated,0,0,1,0,,512.0,popular,low,medium
Lenovo,30790,medium,medium,15.6,147,8.0,8,1,0,4.0,38.0,2.0,1,1,1,0,0,0,0,0,1.0,2.0,1.0,5.0,amd,3,amd,0.0,Integrated,0,0,1,0,,512.0,popular,low,high
Asus,61990,thick,heavy,15.6,141,12.0,16,1,0,6.0,72.0,4.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,11.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,regular,medium,medium
Apple,94990,slim,lite,13.6,224,8.0,8,0,0,8.0,52.6,2.0,0,0,0,1,1,0,1,0,0.0,0.0,2.0,2.0,apple,M2,apple,0.0,Integrated,0,0,1,0,,256.0,popular,high,high
Samsung,63990,slim,medium,15.6,141,12.0,16,1,0,10.0,50.0,3.0,0,0,0,0,0,0,1,1,2.0,0.0,2.0,12.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0,popular,medium,medium
Asus,11990,thick,lite,11.6,135,2.0,4,1,0,2.0,50.0,3.0,0,0,1,0,0,0,0,0,0.0,2.0,2.0,7.0,intel,7,intel,0.0,Integrated,0,0,1,0,64.0,64.0,popular,low,low
Realme,32990,slim,lite,14.0,157,4.0,8,1,0,2.0,38.0,2.0,0,0,0,0,0,0,1,1,0.0,1.0,2.0,11.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,256.0,viral,medium,high
Lenovo,44690,medium,medium,15.6,141,6.0,8,1,0,5.0,47.0,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,13.0,intel,i3,intel,0.0,Integrated,0,1,0,0,,512.0,regular,low,medium
Acer,36990,medium,medium,15.6,141,4.0,16,1,0,2.0,36.0,3.0,1,1,1,0,0,0,0,0,1.0,2.0,1.0,11.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0,regular,medium,medium
Lenovo,94990,slim,lite,14.0,243,16.0,16,0,1,8.0,72.0,4.0,1,0,0,1,0,0,1,1,0.0,1.0,2.0,7.0,amd,3,amd,0.0,Integrated,0,0,1,0,,1024.0,regular,high,high
Asus,74990,slim,lite,14.0,323,16.0,16,0,1,12.0,63.0,3.0,1,0,0,1,0,0,1,1,0.0,1.0,2.0,12.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0,regular,low,high
Acer,57990,medium,heavy,15.6,141,12.0,16,1,0,8.0,50.0,3.0,1,1,0,0,0,0,1,1,0.0,3.0,1.0,12.0,intel,i5,nvidia,4.0,rtx2050,0,0,0,1,,512.0,regular,high,medium
Lenovo,399999,thick,heavy,16.0,236,32.0,32,1,0,24.0,99.0,6.0,1,1,1,1,0,0,1,0,0.0,2.0,3.0,13.0,intel,i9,nvidia,16.0,rtx4090,0,0,0,1,,1024.0,regular,low,high
Lenovo,34990,medium,medium,15.6,157,8.0,8,1,0,6.0,50.0,3.0,1,0,1,0,0,0,0,0,1.0,1.0,1.0,12.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0,regular,low,high
Dell,56340,slim,medium,15.6,141,8.0,8,1,0,4.0,50.0,3.0,1,0,1,0,0,0,0,0,1.0,2.0,0.0,11.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0,regular,low,medium
Asus,70990,thick,heavy,15.6,141,16.0,16,1,0,8.0,90.0,4.0,1,1,0,0,0,0,1,0,0.0,3.0,1.0,11.0,intel,i7,nvidia,4.0,rtx3050,0,0,0,1,,512.0,regular,high,medium
Dell,61990,medium,medium,15.6,141,12.0,16,0,0,10.0,50.0,3.0,1,0,1,0,0,0,1,0,1.0,1.0,1.0,12.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0,regular,high,medium
Acer,48999,medium,medium,15.6,141,8.0,16,1,0,4.0,40.0,3.0,1,0,0,0,0,0,0,0,0.0,2.0,1.0,7.0,amd,5,amd,0.0,Integrated,1,0,0,0,,512.0,regular,low,medium
Lenovo,60990,slim,lite,14.0,157,12.0,16,1,0,8.0,56.6,2.0,1,0,0,0,0,0,1,0,0.0,2.0,2.0,12.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,1024.0,regular,high,high
Wings,27990,medium,medium,15.6,141,8.0,8,1,0,4.0,17.85,2.0,1,0,0,0,0,0,1,0,1.0,2.0,1.0,11.0,intel,i3,intel,0.0,Integrated,0,1,0,0,,512.0,regular,high,medium
MSI,54990,medium,medium,15.6,141,12.0,16,1,0,6.0,52.4,3.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,11.0,intel,i5,nvidia,4.0,rtx2050,0,0,1,0,512.0,512.0,regular,high,medium
HP,23490,medium,medium,15.6,100,2.0,4,1,0,2.0,41.0,3.0,1,1,1,0,0,0,0,0,0.0,2.0,1.0,3.0,amd,3,amd,0.0,Integrated,1,0,0,0,,256.0,regular,medium,low
HP,131254,thick,heavy,16.0,141,16.0,16,1,0,8.0,41.0,6.0,1,1,0,0,0,0,1,0,0.0,2.0,2.0,7.0,amd,7,nvidia,8.0,rtx4060,0,0,0,1,,1024.0,popular,high,medium
MSI,51990,medium,medium,15.6,141,12.0,16,1,0,6.0,52.4,3.0,1,1,0,0,0,0,1,0,0.0,3.0,1.0,12.0,intel,i5,nvidia,4.0,rtx2050,0,0,1,0,,512.0,regular,medium,medium
HP,89999,thick,heavy,16.1,137,16.0,16,1,0,8.0,70.0,4.0,1,1,1,0,0,0,1,0,0.0,3.0,1.0,7.0,amd,7,nvidia,4.0,rtx3050,0,0,0,1,,1024.0,regular,low,low
Lenovo,44990,medium,medium,15.6,141,8.0,16,1,0,4.0,47.0,3.0,1,0,1,0,0,0,1,1,0.0,2.0,1.0,7.0,amd,5,amd,0.0,Integrated,1,0,0,0,,512.0,regular,low,medium
Dell,62990,medium,medium,15.6,141,12.0,8,1,0,10.0,41.0,3.0,1,1,1,0,0,0,0,0,1.0,1.0,1.0,13.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0,regular,medium,medium
Lenovo,114990,thick,heavy,15.6,184,16.0,16,1,0,12.0,60.0,3.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,13.0,intel,i7,nvidia,8.0,rtx4060,0,0,0,1,,512.0,regular,low,high
Acer,36990,slim,medium,15.6,141,8.0,16,1,0,6.0,50.0,3.0,1,1,0,1,0,0,1,0,0.0,2.0,2.0,12.0,intel,i3,intel,0.0,Integrated,0,0,0,1,,512.0,regular,low,medium
Dell,71989,medium,medium,14.0,141,12.0,16,1,0,10.0,54.0,4.0,1,0,1,0,0,0,1,1,0.0,2.0,1.0,13.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,1024.0,regular,low,medium
Lenovo,62990,thick,heavy,15.6,141,12.0,8,1,0,6.0,45.0,3.0,1,1,0,0,0,0,1,0,0.0,2.0,1.0,5.0,amd,5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,popular,low,medium
HP,83990,medium,medium,15.6,141,12.0,16,1,1,10.0,51.0,3.0,1,0,1,1,0,0,1,0,0.0,2.0,2.0,12.0,intel,i5,intel,0.0,Integrated,0,1,0,0,,512.0,regular,low,medium
Chuwi,22490,slim,lite,14.0,280,4.0,8,0,0,2.0,46.2,2.0,1,0,0,0,0,0,0,0,0.0,2.0,1.0,10.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0,popular,medium,high
Dell,42990,thick,medium,15.6,141,12.0,8,1,0,6.0,41.0,3.0,1,1,1,0,0,0,1,0,1.0,1.0,1.0,5.0,amd,5,amd,0.0,Integrated,1,0,0,0,,512.0,regular,low,medium
Infinix,89990,slim,medium,15.6,141,20.0,32,1,0,14.0,70.0,3.0,1,0,0,0,1,0,1,1,2.0,2.0,0.0,13.0,intel,i9,intel,0.0,Integrated,0,0,1,0,,1024.0,regular,low,medium
Ninkear,56000,thick,medium,16.0,186,16.0,32,1,0,8.0,83.0,3.0,1,1,0,0,0,0,1,0,0.0,0.0,2.0,7.0,amd,3,amd,0.0,Integrated,1,0,0,0,,2048.0,regular,medium,high
Ultimus,23990,slim,lite,14.1,156,4.0,8,1,0,2.0,17.85,2.0,1,0,0,0,0,0,0,0,0.0,2.0,1.0,10.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0,regular,high,high
Acer,89990,thick,heavy,15.6,141,16.0,16,1,0,10.0,86.0,6.0,1,1,0,0,0,0,1,0,0.0,3.0,1.0,12.0,intel,i7,nvidia,6.0,rtx4050,0,0,0,1,,512.0,regular,medium,medium
AXL,12989,slim,lite,14.1,156,2.0,4,1,0,2.0,18.5,2.0,1,0,0,0,0,0,0,0,1.0,1.0,0.0,7.0,intel,7,intel,0.0,Integrated,0,0,1,0,,256.0,popular,low,high
Infinix,34990,slim,lite,14.0,157,8.0,16,0,0,4.0,50.0,2.0,1,0,0,0,0,0,1,0,0.0,2.0,2.0,11.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0,regular,medium,high
Acer,36990,medium,medium,15.6,141,8.0,8,0,0,6.0,50.0,3.0,1,0,0,0,0,0,0,0,0.0,2.0,0.0,13.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0,regular,medium,medium
Xiaomi,43990,medium,medium,14.0,243,16.0,8,1,0,12.0,38.0,2.0,1,0,0,1,0,0,1,0,1.0,2.0,1.0,12.0,intel,i5,intel,0.0,Integrated,0,1,0,0,,512.0,regular,high,high
HP,89500,slim,lite,14.0,157,12.0,16,0,1,10.0,43.0,3.0,1,0,0,0,0,0,1,1,0.0,2.0,1.0,13.0,intel,i7,intel,0.0,Integrated,1,0,0,0,,512.0,regular,medium,high
Acer,64990,slim,lite,14.0,243,16.0,16,1,0,12.0,65.0,4.0,1,0,0,0,0,0,1,1,0.0,2.0,2.0,13.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0,regular,high,high
Acer,129990,thick,heavy,16.0,142,24.0,16,1,0,16.0,90.0,4.0,1,1,0,1,0,0,1,0,0.0,3.0,2.0,13.0,intel,i7,nvidia,8.0,rtx4060,0,0,1,0,,1024.0,regular,low,medium
Acer,114990,thick,heavy,16.0,142,24.0,16,1,0,16.0,90.0,4.0,1,1,0,1,0,0,1,0,0.0,3.0,2.0,13.0,intel,i7,nvidia,6.0,rtx4050,0,0,1,0,,1024.0,regular,medium,medium
Acer,99990,thick,heavy,16.0,142,20.0,16,1,0,14.0,90.0,4.0,1,1,0,1,0,0,1,0,0.0,3.0,2.0,13.0,intel,i5,nvidia,6.0,rtx4050,0,0,1,0,,512.0,regular,medium,medium
HP,44990,slim,medium,15.6,141,8.0,8,1,0,6.0,41.0,3.0,1,0,1,0,0,0,1,0,0.0,2.0,1.0,12.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0,popular,low,medium
HP,72799,thick,heavy,15.6,137,12.0,16,1,0,8.0,70.0,4.0,1,1,1,0,0,0,1,0,0.0,2.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,regular,high,low
HP,35990,slim,lite,15.6,100,4.0,8,1,0,2.0,41.0,3.0,1,0,1,0,0,0,0,0,0.0,2.0,1.0,11.0,intel,i3,intel,0.0,Integrated,0,1,0,0,,512.0,regular,low,low
HP,75999,thick,heavy,15.6,137,12.0,16,1,0,8.0,52.5,3.0,1,1,1,0,0,0,1,0,0.0,3.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,regular,low,low
Asus,69990,medium,lite,14.0,162,16.0,16,0,1,8.0,50.0,3.0,1,0,0,0,0,0,1,1,1.0,1.0,1.0,5.0,amd,5,amd,0.0,Integrated,1,0,0,0,,512.0,regular,low,high
Asus,56990,medium,lite,14.0,162,16.0,8,1,0,12.0,70.0,3.0,1,0,0,0,0,0,1,1,1.0,1.0,2.0,12.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0,popular,medium,high
Asus,49990,slim,medium,15.6,141,8.0,16,1,0,4.0,38.0,2.0,1,0,0,0,0,0,1,0,1.0,1.0,1.0,7.0,amd,5,amd,0.0,Integrated,0,0,1,0,,512.0,regular,low,medium
Acer,32990,medium,medium,15.6,141,8.0,8,1,0,8.0,40.0,3.0,1,1,0,0,0,0,0,0,0.0,2.0,1.0,12.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0,popular,low,medium
Acer,64990,thick,heavy,15.6,141,12.0,8,1,0,6.0,57.0,4.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,7.0,amd,3,nvidia,4.0,rtx3050,1,0,0,0,,512.0,regular,low,medium
Asus,44990,slim,medium,15.6,141,8.0,16,1,0,4.0,45.0,2.0,1,0,0,0,0,0,0,0,1.0,1.0,1.0,7.0,amd,5,amd,0.0,Integrated,0,0,1,0,,512.0,regular,low,medium
Asus,39990,slim,medium,15.6,141,8.0,8,1,0,4.0,38.0,2.0,1,0,0,0,0,0,1,0,1.0,1.0,1.0,7.0,amd,3,amd,0.0,Integrated,0,0,1,0,,512.0,popular,low,medium
Lenovo,39990,medium,lite,14.0,157,8.0,8,1,0,6.0,38.0,2.0,1,0,1,0,0,0,1,1,1.0,1.0,1.0,12.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0,regular,low,high
MSI,308990,medium,heavy,17.3,255,20.0,32,1,0,14.0,72.0,4.0,1,1,1,1,0,0,1,1,0.0,2.0,2.0,12.0,intel,i9,nvidia,16.0,Integrated,0,0,0,1,,2048.0,regular,medium,high
Infinix,26990,medium,medium,15.6,141,4.0,8,1,0,2.0,50.0,2.0,1,0,0,0,0,0,1,0,0.0,2.0,2.0,10.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0,popular,low,medium
Infinix,26990,medium,medium,15.6,141,4.0,8,1,0,2.0,50.0,2.0,1,0,0,0,0,0,1,0,0.0,2.0,2.0,10.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,256.0,viral,low,medium
HP,37990,slim,medium,15.6,141,4.0,8,1,0,2.0,41.0,3.0,1,0,1,0,0,0,1,0,0.0,2.0,1.0,11.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0,popular,low,medium
HP,51990,slim,medium,15.6,141,8.0,8,1,0,4.0,41.0,3.0,1,0,1,0,0,0,1,0,0.0,2.0,1.0,11.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0,viral,medium,medium
Asus,53990,medium,medium,16.0,283,12.0,16,1,0,6.0,50.0,3.0,1,0,0,0,0,0,1,1,1.0,2.0,1.0,5.0,amd,5,amd,0.0,Integrated,0,0,0,1,,512.0,regular,medium,high
Dell,108000,medium,medium,14.0,112,12.0,8,0,0,10.0,72.0,4.0,1,1,1,0,0,0,1,1,1.0,2.0,1.0,12.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0,regular,medium,low
Dell,44550,medium,medium,15.6,147,8.0,8,1,0,4.0,41.0,3.0,1,0,1,0,0,0,0,0,1.0,1.0,1.0,7.0,amd,5,amd,0.0,Integrated,1,0,0,0,,512.0,regular,low,high
HP,143000,medium,medium,16.0,142,12.0,16,1,0,10.0,51.0,3.0,1,0,0,0,0,0,1,1,0.0,2.0,2.0,12.0,intel,i7,intel,0.0,Integrated,1,0,0,0,,1024.0,regular,medium,medium
Acer,42990,medium,medium,15.6,141,8.0,8,1,0,6.0,50.0,3.0,1,0,0,1,0,0,1,0,0.0,2.0,1.0,13.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0,regular,high,medium
Dell,354490,medium,heavy,17.0,266,20.0,32,1,1,14.0,97.0,6.0,0,0,1,1,0,0,1,1,0.0,0.0,4.0,13.0,intel,i9,nvidia,8.0,rtx4070,1,0,0,0,,1024.0,regular,low,high
Lenovo,33900,medium,medium,15.6,141,8.0,8,1,0,6.0,38.0,2.0,1,1,0,0,0,0,0,0,1.0,1.0,1.0,12.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0,regular,high,medium
HP,66999,slim,medium,15.6,141,16.0,16,1,0,8.0,50.0,3.0,1,0,0,0,0,0,1,0,0.0,2.0,1.0,7.0,amd,3,amd,0.0,Integrated,1,0,0,0,,512.0,regular,medium,medium
Dell,89990,slim,medium,16.0,138,12.0,16,1,0,10.0,54.0,4.0,1,1,1,0,0,0,1,1,0.0,2.0,1.0,13.0,intel,i7,intel,12.0,Integrated,1,0,0,0,,512.0,regular,high,low
Lenovo,31990,medium,medium,15.6,147,8.0,8,1,0,4.0,38.0,2.0,1,1,1,0,0,0,0,0,0.0,2.0,1.0,7.0,amd,3,amd,0.0,Integrated,0,0,1,0,,512.0,regular,medium,high
Lenovo,172990,thick,heavy,16.0,184,20.0,32,1,0,14.0,50.0,3.0,1,1,0,1,0,0,1,0,0.0,3.0,2.0,13.0,intel,i7,nvidia,16.0,rtx4090,0,0,0,1,,1024.0,regular,high,high
MSI,292990,medium,medium,16.0,283,20.0,32,1,0,14.0,99.9,4.0,1,1,0,0,0,0,1,1,0.0,1.0,2.0,13.0,intel,i9,nvidia,8.0,rtx4070,0,0,1,0,,1024.0,regular,low,high
Acer,47990,medium,heavy,15.6,141,12.0,8,1,0,8.0,50.0,3.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,12.0,intel,i5,nvidia,4.0,gtx1650,0,0,0,1,,512.0,popular,low,medium
HP,66150,slim,medium,15.6,141,16.0,16,1,0,12.0,41.0,3.0,1,0,0,0,0,0,1,0,0.0,2.0,1.0,13.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0,regular,medium,medium
Asus,131990,thick,heavy,15.6,141,16.0,16,1,0,8.0,72.0,4.0,1,1,0,1,0,0,1,0,0.0,2.0,2.0,7.0,amd,7,nvidia,6.0,rtx4050,0,0,0,1,,1024.0,regular,medium,medium
Asus,179990,thick,heavy,16.0,189,32.0,16,1,0,24.0,72.0,4.0,1,1,0,1,0,0,1,0,0.0,2.0,2.0,13.0,intel,i9,nvidia,8.0,rtx4060,0,0,0,1,,1024.0,regular,medium,high
Asus,79990,medium,medium,16.0,142,12.0,16,1,0,8.0,63.0,3.0,1,0,1,0,0,0,1,1,0.0,2.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,1,0,,512.0,popular,medium,medium
HP,41490,slim,medium,15.6,141,8.0,8,1,0,6.0,50.0,3.0,1,0,0,0,0,0,1,0,0.0,2.0,1.0,12.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0,regular,low,medium
MSI,76990,thick,heavy,15.6,141,12.0,16,1,0,8.0,53.5,3.0,1,1,0,0,0,0,1,0,1.0,2.0,1.0,12.0,intel,i5,nvidia,6.0,rtx3050,0,0,1,0,,512.0,regular,low,medium
Asus,79990,medium,lite,14.0,162,16.0,16,1,0,12.0,50.0,3.0,1,0,0,0,0,0,1,1,0.0,2.0,1.0,13.0,intel,i5,nvidia,4.0,rtx2050,0,0,1,0,,512.0,regular,medium,high
Asus,87990,medium,medium,16.0,283,16.0,16,1,0,12.0,50.0,3.0,1,0,1,0,0,0,1,1,0.0,2.0,1.0,13.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,regular,medium,high
Asus,59519,thick,heavy,17.3,127,12.0,8,1,0,6.0,48.0,3.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,11.0,intel,i5,nvidia,4.0,rtx2050,0,0,0,1,,512.0,popular,medium,low
Asus,61990,thick,heavy,15.6,141,12.0,16,1,0,6.0,48.0,4.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,11.0,intel,i5,nvidia,4.0,rtx2050,0,0,0,1,,512.0,regular,medium,medium
HP,54990,thick,heavy,15.6,137,12.0,8,1,0,6.0,52.5,3.0,1,1,1,0,0,0,1,0,0.0,2.0,1.0,5.0,amd,5,nvidia,4.0,gtx1650,0,0,0,1,,512.0,regular,low,low
Asus,159990,medium,medium,16.0,236,20.0,16,1,0,14.0,96.0,6.0,1,1,0,1,0,0,1,1,0.0,2.0,2.0,13.0,intel,i9,nvidia,6.0,rtx4050,1,0,0,0,,1024.0,regular,high,high
Realme,40990,slim,lite,14.0,185,8.0,8,1,0,4.0,38.0,2.0,0,0,0,1,0,0,1,1,0.0,1.0,2.0,11.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0,popular,low,high
HP,109990,thick,heavy,15.6,141,20.0,16,1,0,14.0,70.0,4.0,1,1,1,0,0,0,1,0,0.0,3.0,1.0,13.0,intel,i7,nvidia,6.0,rtx4050,0,0,0,1,,512.0,regular,high,medium
Acer,84000,thick,heavy,15.6,141,16.0,16,1,0,8.0,57.0,4.0,1,1,0,0,0,0,1,0,0.0,3.0,1.0,7.0,amd,3,nvidia,4.0,rtx3050,1,0,0,0,,512.0,regular,high,medium
Asus,64990,medium,medium,15.6,141,16.0,16,1,0,12.0,50.0,3.0,1,0,0,0,0,0,1,0,1.0,2.0,1.0,13.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0,regular,low,medium
Lenovo,24551,slim,lite,15.6,141,2.0,8,0,0,2.0,38.0,2.0,1,1,0,0,0,0,0,0,1.0,1.0,1.0,7.0,intel,7,intel,0.0,Integrated,1,0,0,0,,256.0,popular,low,medium
Honor,40990,slim,medium,15.6,141,12.0,16,0,0,6.0,56.0,3.0,1,0,0,0,0,0,1,1,1.0,1.0,1.0,5.0,amd,5,amd,0.0,Integrated,0,0,1,0,,512.0,popular,medium,medium
HP,41490,medium,medium,15.6,141,12.0,8,1,0,6.0,41.0,3.0,1,0,1,0,0,0,0,0,0.0,2.0,1.0,5.0,amd,5,amd,0.0,Integrated,0,0,1,0,,512.0,popular,low,medium
HP,45790,medium,medium,15.6,141,8.0,8,1,0,4.0,41.0,3.0,1,0,0,0,0,0,0,0,0.0,2.0,1.0,7.0,amd,5,amd,0.0,Integrated,0,0,1,0,,512.0,regular,high,medium
HP,56990,thick,heavy,15.6,137,12.0,8,1,0,6.0,52.5,3.0,1,1,1,0,0,0,1,0,0.0,2.0,1.0,5.0,amd,5,amd,4.0,rx6500m,0,0,0,1,,512.0,regular,high,low
HP,42990,slim,lite,14.0,157,8.0,8,1,0,6.0,41.0,3.0,1,0,1,0,0,0,1,0,0.0,2.0,1.0,12.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0,popular,low,high
Asus,429990,medium,heavy,16.0,283,32.0,32,1,0,16.0,90.0,4.0,1,1,0,1,0,0,1,0,0.0,2.0,2.0,7.0,amd,5,nvidia,16.0,rtx4090,0,0,0,1,,2048.0,regular,medium,high
Acer,30990,medium,medium,15.6,141,8.0,8,1,0,8.0,40.0,3.0,1,1,0,0,0,0,0,0,0.0,2.0,1.0,12.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,256.0,popular,low,medium
MSI,116990,thick,heavy,15.6,141,16.0,16,1,0,10.0,53.5,3.0,1,1,0,0,0,0,1,0,1.0,2.0,1.0,13.0,intel,i7,nvidia,8.0,rtx4060,0,0,1,0,,1024.0,regular,medium,medium
HP,67990,thick,heavy,15.6,137,12.0,16,1,0,8.0,52.5,3.0,1,1,1,0,0,0,1,0,0.0,2.0,1.0,12.0,intel,i5,nvidia,4.0,gtx1650,0,0,0,1,,512.0,regular,high,low
Samsung,89990,slim,medium,15.6,157,12.0,16,1,0,10.0,54.0,3.0,1,0,0,0,0,0,1,1,0.0,2.0,2.0,13.0,intel,i7,intel,0.0,Integrated,0,1,0,0,,512.0,popular,medium,high
Samsung,76990,slim,medium,15.6,157,12.0,16,1,0,10.0,54.0,3.0,1,0,0,0,0,0,1,1,0.0,2.0,2.0,13.0,intel,i5,intel,0.0,Integrated,0,1,0,0,,512.0,popular,medium,high
Asus,42990,medium,medium,15.6,141,12.0,8,1,0,10.0,50.0,3.0,1,0,0,0,0,0,1,0,1.0,2.0,1.0,12.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0,popular,low,medium
MSI,154990,thick,heavy,17.3,127,20.0,16,1,0,14.0,90.0,4.0,1,1,0,0,0,0,1,0,1.0,2.0,1.0,13.0,intel,i7,nvidia,8.0,rtx4070,0,0,1,0,,1024.0,regular,medium,low
Samsung,281990,slim,medium,16.0,157,20.0,32,1,0,14.0,72.0,4.0,1,0,0,1,0,0,1,1,0.0,1.0,2.0,13.0,intel,i9,nvidia,16.0,rtx4070,0,1,0,0,,1024.0,regular,low,high
Lenovo,46990,medium,medium,15.6,157,12.0,16,1,0,6.0,65.0,2.0,1,0,1,0,0,0,1,1,1.0,1.0,1.0,5.0,amd,5,amd,0.0,Integrated,0,0,1,0,,512.0,viral,medium,high
Samsung,163990,slim,medium,16.0,212,16.0,16,1,1,12.0,76.0,4.0,1,0,0,1,0,0,1,1,0.0,1.0,2.0,13.0,intel,i7,intel,0.0,Integrated,1,0,0,0,,512.0,regular,low,high
Samsung,138990,slim,lite,15.6,141,16.0,16,1,1,12.0,68.0,2.0,1,0,0,1,0,0,1,1,0.0,1.0,2.0,13.0,intel,i7,intel,0.0,Integrated,1,0,0,0,,1024.0,regular,low,medium
Samsung,109990,slim,lite,13.3,166,12.0,16,1,1,10.0,61.0,2.0,1,0,0,1,0,0,1,1,0.0,1.0,2.0,13.0,intel,i7,intel,0.0,Integrated,1,0,0,0,,512.0,regular,low,high
