brand,price,thickness,weight,screen_size,ppi,threads,ram,antiglare,touch_screen,cores,battery_capacity,battery_cell,hdmi,ethernet,multi_card_reader,thunderbolt,display_port,vga,backlit,fingerprint_sensor,usb2,usb3,typec,processor_gen,processor_brand,processor_model,graphics_brand,graphics_capacity,graphics_model,everyday_use,business,performance,gaming,hdd,ssd
MSI,59990,24.95,2.35,15.6,141,16.0,16,1,0,8.0,53.5,3.0,1,1,0,0,0,0,1,0,1.0,2.0,1.0,5.0,amd,5,amd,4.0,rx6500m,0,0,1,0,,512.0
Apple,126990,11.5,1.51,15.3,224,8.0,8,0,0,8.0,66.5,,0,0,0,1,1,0,1,1,,,2.0,2.0,apple,M2,apple,0.0,Integrated,0,0,1,0,,256.0
Infinix,23990,18.15,1.76,15.6,141,4.0,8,1,0,4.0,40.0,,1,0,0,0,0,0,1,0,,2.0,2.0,11.0,intel,5,intel,0.0,Integrated,0,0,1,0,,512.0
Asus,69990,19.9,1.8,15.6,141,16.0,16,1,0,8.0,50.0,3.0,1,0,0,0,0,0,1,1,2.0,1.0,1.0,5.0,amd,5,nvidia,4.0,rtx3050,0,0,0,1,,512.0
Acer,33999,18.9,1.78,15.6,141,8.0,8,0,0,4.0,40.0,3.0,1,0,0,0,0,0,0,0,,2.0,1.0,7.0,amd,3,amd,0.0,Integrated,1,0,0,0,,512.0
Acer,47990,17.9,1.76,15.6,141,12.0,12,1,0,10.0,50.0,3.0,1,1,0,1,0,0,1,1,,3.0,1.0,12.0,intel,i5,intel,0.0,Integrated,0,0,0,1,,512.0
Xiaomi,59990,15.9,1.4,14.0,215,12.0,16,1,0,8.0,,,1,0,0,1,0,0,1,1,,1.0,1.0,12.0,intel,i5,nvidia,2.0,mx550,1,0,0,0,,512.0
Acer,69990,26.0,2.5,15.6,141,16.0,16,1,0,8.0,72.0,4.0,1,0,0,1,0,0,1,0,1.0,2.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0
Infinix,37990,14.8,1.24,14.0,157,8.0,16,0,0,4.0,50.0,,1,0,0,0,0,0,1,0,,2.0,2.0,11.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,1024.0
Dell,184999,11.65,1.84,15.6,145,12.0,16,1,0,6.0,86.0,6.0,0,0,1,1,0,0,1,0,,,3.0,10.0,intel,i7,nvidia,4.0,Integrated,0,0,0,0,,512.0
Lenovo,177990,19.9,2.0,16.0,236,20.0,16,1,0,14.0,99.9,4.0,1,0,1,1,0,0,1,1,,3.0,2.0,13.0,intel,i9,nvidia,8.0,rtx4070,0,0,0,1,,1024.0
Dell,51487,0.0,1.65,15.6,141,12.0,8,1,0,10.0,41.0,3.0,1,0,1,0,0,0,1,0,1.0,2.0,,12.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0
Asus,94990,30.4,2.5,16.0,142,16.0,16,1,0,10.0,72.0,4.0,1,0,0,1,0,0,1,0,,2.0,1.0,13.0,intel,i5,nvidia,6.0,rtx3050,0,0,0,1,,1024.0
Ultimus,25990,0.0,1.3,14.1,156,8.0,8,0,0,4.0,,,1,1,0,0,0,0,0,0,,2.0,1.0,10.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0
Infinix,47990,14.8,1.24,14.0,157,12.0,16,0,0,10.0,50.0,3.0,1,0,0,0,0,0,1,0,,,2.0,12.0,intel,i7,intel,0.0,Integrated,0,0,1,0,,512.0
MSI,45990,0.0,1.86,15.6,141,12.0,8,1,0,6.0,50.0,3.0,1,1,0,1,0,0,1,0,,3.0,1.0,11.0,intel,i5,nvidia,4.0,gtx1650,0,0,1,0,,512.0
MSI,55990,21.7,1.86,15.6,141,12.0,16,1,0,6.0,52.4,3.0,1,1,0,1,0,0,1,0,,3.0,1.0,11.0,intel,i5,nvidia,4.0,rtx3050,0,0,1,0,512.0,512.0
Asus,70500,0.0,lite,14.0,162,16.0,16,0,1,8.0,70.0,3.0,1,0,0,0,0,0,1,0,1.0,1.0,1.0,5.0,amd,5,amd,0.0,Integrated,1,0,0,0,,1024.0
Asus,65500,0.0,lite,14.0,162,12.0,16,0,1,6.0,70.0,3.0,1,0,0,0,0,0,1,0,1.0,1.0,1.0,5.0,amd,5,amd,0.0,Integrated,1,0,0,0,,1024.0
Lenovo,40500,18.9,1.7,15.6,141,8.0,4,1,0,4.0,50.0,3.0,1,1,0,0,0,0,0,0,1.0,1.0,1.0,4.0,amd,3,intel,0.0,Integrated,0,0,1,0,,256.0
Lenovo,90000,0.0,lite,14.0,157,16.0,16,1,0,8.0,50.0,3.0,1,1,0,0,0,0,0,0,,2.0,2.0,4.0,amd,5,amd,0.0,Integrated,0,1,0,0,,512.0
MSI,36990,19.9,1.7,15.6,141,8.0,8,1,0,4.0,50.0,3.0,1,0,0,0,0,0,1,0,2.0,1.0,1.0,11.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0
MSI,29990,19.9,1.7,15.6,141,4.0,8,1,0,2.0,50.0,3.0,1,0,0,0,0,0,1,0,2.0,1.0,1.0,11.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0
Lenovo,62990,0.0,2.32,15.6,141,12.0,16,1,0,6.0,60.0,4.0,1,1,0,0,0,0,1,0,,2.0,1.0,6.0,amd,5,nvidia,4.0,rtx3050,0,0,0,1,,512.0
Lenovo,40990,19.9,1.63,15.6,157,8.0,8,1,0,6.0,45.0,3.0,1,0,1,0,0,0,0,0,1.0,1.0,1.0,12.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0
Lenovo,34499,18.9,1.7,15.6,141,8.0,8,1,0,4.0,45.0,3.0,1,1,1,1,0,0,1,1,,2.0,2.0,7.0,amd,3,amd,0.0,Integrated,0,0,1,0,,512.0
MSI,38990,19.35,1.4,14.0,157,8.0,16,1,0,4.0,50.0,3.0,1,0,0,0,0,0,1,0,2.0,1.0,1.0,11.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0
Asus,85990,24.9,2.2,15.6,141,16.0,16,1,0,12.0,90.0,4.0,1,1,0,1,0,0,1,0,,2.0,2.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,1,0,,512.0
Lenovo,66290,17.9,1.58,15.6,141,8.0,8,1,0,4.0,42.0,,1,0,1,0,0,0,1,0,1.0,1.0,1.0,7.0,amd,5,amd,0.0,Integrated,0,0,1,0,,512.0
Lenovo,67990,21.8,2.25,15.6,141,12.0,16,1,0,8.0,60.0,,1,1,0,0,0,0,1,0,,2.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0
Asus,42990,19.9,1.6,14.0,157,4.0,16,1,0,2.0,38.0,2.0,1,0,0,0,0,0,0,1,2.0,1.0,1.0,11.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0
Lenovo,54990,0.0,2.32,15.6,141,12.0,8,1,0,6.0,60.0,4.0,1,1,0,0,0,0,1,0,,2.0,1.0,6.0,amd,5,nvidia,4.0,rtx3050,0,0,0,1,,512.0
HP,52290,17.9,1.75,15.6,157,12.0,8,1,0,6.0,41.0,3.0,1,0,0,0,0,0,1,0,,2.0,1.0,5.0,amd,5,amd,0.0,Integrated,1,0,0,0,,512.0
Asus,109990,17.9,1.7,15.6,212,20.0,16,1,0,14.0,72.0,4.0,1,0,0,1,0,0,1,1,1.0,1.0,1.0,13.0,intel,i9,intel,0.0,Integrated,0,0,1,0,,1024.0
Honor,48990,18.0,1.75,16.0,142,12.0,16,1,0,8.0,60.0,,1,0,0,0,0,0,1,1,,2.0,1.0,12.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0
Asus,58990,18.9,1.5,14.0,162,16.0,16,1,0,12.0,70.0,3.0,1,0,0,0,0,0,1,1,1.0,1.0,2.0,12.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0
MSI,35990,19.35,1.4,14.0,157,8.0,8,1,0,4.0,50.0,3.0,1,0,0,0,0,0,1,0,2.0,1.0,1.0,11.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0
MSI,569990,23.0,3.3,17.3,255,32.0,64,1,0,24.0,99.0,4.0,1,1,1,0,1,0,1,1,,3.0,2.0,13.0,intel,i9,nvidia,16.0,rtx4090,0,0,0,1,,4096.0
Acer,34990,18.9,1.78,15.6,141,8.0,8,0,0,4.0,40.0,3.0,1,0,0,0,0,0,0,0,,2.0,1.0,7.0,amd,5,amd,0.0,Integrated,1,0,0,0,,512.0
Acer,62990,17.9,1.78,15.6,141,12.0,8,1,0,8.0,50.0,3.0,1,1,0,1,0,0,1,0,,2.0,1.0,13.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0
Apple,322490,16.8,2.16,16.2,254,8.0,32,1,0,12.0,100.0,,1,0,1,1,1,0,1,0,,,3.0,2.0,apple,M2,apple,0.0,Integrated,0,0,1,0,,1024.0
Samsung,69990,0.0,lite,14.0,157,16.0,8,1,0,12.0,72.0,4.0,1,0,1,0,0,0,1,1,,2.0,2.0,13.0,intel,i5,intel,0.0,Integrated,0,1,0,0,,512.0
Lenovo,57990,0.0,2.32,15.6,141,8.0,8,1,0,4.0,45.0,3.0,1,1,0,0,0,0,1,0,,2.0,1.0,5.0,amd,5,nvidia,4.0,rtx2050,0,0,0,1,,512.0
