,brand,price,thickness,weight,screen_size,ppi,threads,ram,antiglare,touch_screen,cores,battery_capacity,battery_cell,hdmi,ethernet,multi_card_reader,thunderbolt,display_port,vga,backlit,fingerprint_sensor,usb2,usb3,typec,processor_gen,processor_brand,processor_model,graphics_brand,graphics_capacity,graphics_model,everyday_use,business,performance,gaming,hdd,ssd,popularity,quality_type,ppi_type
424,Dell,86990,,,13,227,16.0,16,1,0,12.0,54.0,4.0,1,0,0,1,0,0,1,1,0.0,1.0,2.0,13.0,intel,i5,intel,,Integrated,1,0,0,0,,1024.0,regular,low,high
425,Dell,84990,,,14,162,12.0,16,1,1,10.0,54.0,4.0,1,0,1,1,0,0,1,1,0.0,1.0,2.0,13.0,intel,i5,intel,,Integrated,1,0,0,0,,1024.0,regular,low,high
426,HP,65290,thick,heavy,15,141,12.0,16,1,0,6.0,70.0,4.0,1,1,1,0,0,0,1,0,0.0,2.0,1.0,5.0,amd,5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,regular,medium,medium
427,Lenovo,82990,,lite,14,170,16.0,16,0,0,12.0,,4.0,1,0,0,1,0,0,1,0,0.0,1.0,2.0,13.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0,regular,high,high
428,HP,74990,slim,medium,15,141,12.0,16,1,0,10.0,41.0,3.0,1,0,0,0,0,0,1,0,0.0,2.0,1.0,13.0,intel,i5,intel,,Integrated,0,0,1,0,,1024.0,regular,high,medium
429,MSI,138990,thick,heavy,17,127,16.0,16,1,0,10.0,53.5,3.0,1,1,0,0,0,0,1,0,1.0,2.0,1.0,12.0,intel,i7,nvidia,8.0,rtx4070,0,0,1,0,,1024.0,regular,medium,low
430,MSI,87990,medium,medium,15,141,16.0,16,1,0,10.0,,3.0,1,1,0,0,0,0,1,0,0.0,3.0,1.0,12.0,intel,i7,nvidia,6.0,rtx4050,0,0,1,0,,512.0,regular,low,medium
431,MSI,94990,medium,medium,15,141,16.0,16,1,0,10.0,51.0,3.0,1,1,0,0,0,0,1,0,0.0,3.0,1.0,12.0,intel,i7,nvidia,8.0,rtx4060,0,0,1,0,,512.0,regular,low,medium
432,Lenovo,74990,medium,medium,16,142,16.0,16,1,0,12.0,56.6,3.0,1,0,0,0,0,0,1,0,0.0,2.0,2.0,13.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0,regular,medium,medium
433,MSI,113990,thick,heavy,17,127,16.0,16,1,0,10.0,53.5,3.0,1,1,0,0,0,0,1,0,1.0,2.0,1.0,12.0,intel,i7,nvidia,8.0,rtx4060,0,0,1,0,,1024.0,regular,medium,low
435,MSI,103990,thick,heavy,17,127,16.0,8,1,0,10.0,53.5,3.0,1,1,0,0,0,0,1,0,1.0,2.0,1.0,12.0,intel,i7,nvidia,8.0,rtx4060,0,0,1,0,,1024.0,regular,high,low
436,MSI,189990,thick,heavy,17,127,20.0,16,1,0,14.0,90.0,4.0,1,1,0,0,0,0,1,0,1.0,2.0,1.0,13.0,intel,i9,nvidia,8.0,rtx4070,0,0,1,0,,1024.0,regular,medium,low
437,MSI,134990,thick,heavy,17,127,20.0,8,1,0,14.0,90.0,4.0,1,1,0,0,0,0,1,0,1.0,2.0,1.0,13.0,intel,i7,nvidia,8.0,rtx4060,0,0,1,0,,1024.0,regular,high,low
438,MSI,49990,medium,medium,15,141,12.0,8,1,0,6.0,52.4,3.0,1,1,0,0,0,0,1,0,0.0,3.0,1.0,12.0,intel,i5,nvidia,4.0,rtx2050,0,0,1,0,,512.0,regular,low,medium
439,Lenovo,38890,medium,medium,15,141,4.0,8,1,0,2.0,,3.0,1,0,1,0,0,0,0,0,1.0,2.0,0.0,11.0,intel,i3,intel,,Integrated,1,0,0,0,,512.0,regular,low,medium
440,HP,116463,thick,heavy,15,141,16.0,16,1,0,12.0,70.0,4.0,1,1,1,0,0,0,1,0,0.0,2.0,1.0,13.0,intel,i5,nvidia,6.0,rtx4050,0,0,0,1,,512.0,regular,low,medium
441,HP,109990,thick,heavy,15,141,20.0,16,1,0,14.0,70.0,4.0,1,1,1,0,0,0,1,0,0.0,2.0,1.0,13.0,intel,i7,nvidia,6.0,rtx4050,0,0,0,1,,512.0,regular,high,medium
442,HP,277278,medium,heavy,16,182,32.0,32,1,0,24.0,97.0,6.0,1,1,0,0,0,0,1,0,0.0,2.0,2.0,13.0,intel,i9,nvidia,8.0,rtx4070,0,0,1,0,,1024.0,regular,high,high
443,HP,153625,thick,heavy,16,182,20.0,16,1,0,14.0,83.0,6.0,1,1,0,0,0,0,1,0,0.0,2.0,2.0,13.0,intel,i5,nvidia,6.0,rtx4050,0,0,1,0,,512.0,regular,high,high
444,HP,56999,thick,heavy,15,137,12.0,8,1,0,6.0,52.5,3.0,1,1,1,0,0,0,1,0,0.0,3.0,1.0,5.0,amd,5,amd,4.0,rx6500m,0,0,0,1,,512.0,regular,medium,low
445,Gigabyte,149990,medium,heavy,15,188,16.0,16,1,0,12.0,99.0,,1,1,0,1,1,0,1,0,0.0,3.0,2.0,12.0,intel,i5,nvidia,8.0,rtx4070,0,0,0,1,,1024.0,regular,high,high
446,Lenovo,78990,,lite,14,170,16.0,16,0,0,12.0,65.0,4.0,1,0,0,1,0,0,1,0,0.0,1.0,2.0,13.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0,regular,low,high
447,Lenovo,58990,,lite,14,162,12.0,16,1,0,6.0,56.6,3.0,1,0,0,0,0,0,1,1,0.0,2.0,2.0,7.0,amd,3,amd,,Integrated,1,0,0,0,,512.0,regular,high,high
448,Asus,40990,medium,medium,15,141,8.0,8,1,0,6.0,,3.0,1,0,0,0,0,0,1,0,1.0,2.0,1.0,12.0,intel,i3,intel,,Integrated,0,0,1,0,,512.0,popular,low,medium
449,HP,108274,slim,lite,13,255,12.0,16,1,1,10.0,,4.0,0,0,0,1,0,0,1,0,0.0,2.0,2.0,12.0,intel,i7,intel,,Integrated,0,0,1,0,,512.0,regular,medium,high
450,Chuwi,32999,,lite,15,280,8.0,16,0,0,4.0,66.9,,1,1,0,0,0,0,0,0,0.0,2.0,1.0,10.0,intel,i5,intel,,Integrated,1,0,0,0,,512.0,regular,high,high
451,HP,101990,thick,heavy,16,137,12.0,16,1,0,8.0,83.0,6.0,1,1,0,0,0,0,1,0,0.0,3.0,1.0,13.0,intel,i5,nvidia,6.0,rtx4050,0,0,0,1,,512.0,regular,medium,low
453,HP,231746,,lite,13,166,12.0,16,1,1,10.0,68.0,6.0,1,0,0,0,0,0,1,0,0.0,1.0,2.0,13.0,intel,i7,intel,,Integrated,0,1,0,0,,512.0,regular,medium,high
454,Asus,69990,medium,medium,15,141,12.0,16,1,0,6.0,70.0,3.0,1,0,0,0,0,0,1,1,2.0,1.0,1.0,5.0,amd,5,nvidia,4.0,rtx2050,0,0,0,1,,512.0,regular,medium,medium
455,Asus,94990,medium,medium,16,142,16.0,16,1,0,10.0,50.0,3.0,1,0,1,0,0,0,1,1,0.0,2.0,1.0,12.0,intel,i7,nvidia,4.0,rtx3050,0,0,1,0,,512.0,regular,medium,medium
456,Acer,165601,thick,heavy,16,142,32.0,16,1,0,24.0,90.0,4.0,1,1,0,1,0,0,1,0,0.0,3.0,2.0,13.0,intel,i9,nvidia,8.0,rtx4060,0,0,1,0,,1024.0,regular,medium,medium
457,MSI,85990,thick,heavy,15,141,16.0,8,1,0,10.0,53.5,3.0,1,1,0,0,0,0,1,0,1.0,2.0,1.0,12.0,intel,i7,nvidia,6.0,rtx3050,0,0,1,0,,512.0,regular,high,medium
458,Asus,76990,medium,medium,15,141,16.0,16,1,0,8.0,70.0,3.0,1,0,0,0,0,0,1,1,2.0,1.0,1.0,5.0,amd,5,nvidia,4.0,rtx2050,0,0,0,1,,512.0,regular,high,medium
459,Lenovo,71990,medium,medium,14,142,12.0,16,1,0,8.0,56.6,3.0,1,0,0,0,0,0,1,0,0.0,2.0,2.0,13.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0,regular,high,medium
460,Asus,84990,slim,lite,14,243,20.0,16,0,1,14.0,63.0,3.0,1,0,0,0,0,0,1,1,0.0,1.0,2.0,12.0,intel,i7,intel,,Integrated,0,0,1,0,,512.0,regular,medium,high
461,Asus,37990,medium,medium,15,141,4.0,8,1,0,2.0,37.0,2.0,1,0,1,0,0,0,1,1,0.0,2.0,1.0,11.0,intel,i3,intel,,Integrated,1,0,0,0,,512.0,regular,low,medium
462,HP,186592,medium,heavy,16,189,24.0,16,1,0,16.0,97.0,6.0,1,1,0,0,0,0,1,0,0.0,2.0,2.0,13.0,intel,i7,nvidia,6.0,rtx4050,0,0,0,1,,512.0,regular,medium,high
463,HP,79990,,medium,14,157,12.0,16,0,1,10.0,43.0,,1,0,0,1,0,0,1,1,0.0,2.0,2.0,13.0,intel,i5,intel,,Integrated,1,0,0,0,,512.0,regular,high,high
464,Lenovo,91490,thick,heavy,15,184,12.0,16,1,0,8.0,60.0,3.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,12.0,intel,i5,nvidia,6.0,rtx4050,0,0,0,1,,512.0,regular,high,high
465,Lenovo,97990,thick,heavy,15,184,12.0,16,1,0,8.0,60.0,3.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,12.0,intel,i5,nvidia,8.0,rtx4060,0,0,0,1,,512.0,regular,low,high
466,Gigabyte,117574,medium,heavy,15,141,16.0,8,1,0,12.0,99.0,,1,1,0,0,1,0,1,0,0.0,3.0,2.0,12.0,intel,i5,nvidia,8.0,rtx4060,0,0,1,0,,512.0,regular,high,medium
467,Asus,59990,medium,medium,15,141,12.0,16,1,0,10.0,42.0,3.0,1,0,0,0,0,0,1,1,1.0,2.0,1.0,12.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0,popular,low,medium
468,Lenovo,99990,thick,heavy,15,184,16.0,16,1,0,8.0,60.0,3.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,7.0,amd,7,nvidia,6.0,rtx4050,0,0,0,1,,512.0,regular,high,high
